,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
59,"Said, A; Bowman, TD; Abbasi, RA; Aljohani, NR; Saeed-Ul Hassan; Nawaz, R","Said, Anwar; Bowman, Timothy D.; Abbasi, Rabeeh Ayaz; Aljohani, Naif Radi; Saeed-Ul Hassan; Nawaz, Raheel",Mining network-level properties of Twitter altmetrics data,SCIENTOMETRICS,English,Article,Altmetrics; Community structure; Influential users; Motifs; Overlapping communities; Twitter,2019,120,1,10.1007/s11192-019-03112-0,"a said, td bowman, ra abbasi, nr aljohani, saeed-ul hassan, r nawaz","anwar said, timothy d. bowman, rabeeh ayaz abbasi, naif radi aljohani, saeed-ul hassan, raheel nawaz",mining network level properties twitter altmetrics data,scientometrics,"altmetrics, community structure, influential users, motifs, overlapping communities, twitter"
60,"Davis, B; Ozanne, JL","Davis, Brennan; Ozanne, Julie L.",Measuring the impact of transformative consumer research: The relational engagement approach as a promising avenue,JOURNAL OF BUSINESS RESEARCH,English,Article,Transformative consumer research; Relational engagement; Social impact; Citation analysis; Altmetric analysis,2019,100,0,10.1016/j.jbusres.2018.12.047,"b davis, jl ozanne","brennan davis, julie l. ozanne",measuring impact transformative consumer research relational engagement approach as a promising avenue,journal of business research,"altmetric analysis, citation analysis, relational engagement, social impact, transformative consumer research"
61,"Verma, S; Madhusudhan, M","Verma, Sapna; Madhusudhan, Margam",An altmetric comparison of highly cited digital library publications of India and China,ANNALS OF LIBRARY AND INFORMATION STUDIES,English,Article,Altmetrics; Highly-cited publications; India; China; Digital Library,2019,66,2,,"s verma, m madhusudhan","sapna verma, margam madhusudhan",an altmetric comparison highly cited digital library publications india china,annals of library and information studies,"altmetrics, china, digital library, highly-cited publications, india"
62,"Stamp, NL; Luc, JGY; Ouzounian, M; Bhatti, F; Hici, TN; Antonoff, AB","Stamp, Nikki L.; Luc, Jessica G. Y.; Ouzounian, Maral; Bhatti, Farah; Hici, Tamara Ni; Antonoff, Andmara B.",Social media as a tool to rewrite the narrative for women in cardiothoracic surgery,INTERACTIVE CARDIOVASCULAR AND THORACIC SURGERY,English,Article,cardiothoracic surgery workforce; diversity; social media; women,2019,28,6,10.1093/icvts/ivy358,"nl stamp, jgy luc, m ouzounian, f bhatti, tn hici, ab antonoff","nikki l. stamp, jessica g. y. luc, maral ouzounian, farah bhatti, tamara ni hici, andmara b. antonoff",social media as a tool to rewrite narrative for women in cardiothoracic surgery,interactive cardiovascular and thoracic surgery,"cardiothoracic surgery workforce, diversity, social media, women"
63,"Maggio, LA; Ratcliff, CL; Krakow, M; Moorhead, LL; Enkhbayar, A; Alperin, JP","Maggio, Lauren A.; Ratcliff, Chelsea L.; Krakow, Melinda; Moorhead, Laura L.; Enkhbayar, Asura; Alperin, Juan Pablo",Making headlines: an analysis of US government-funded cancer research mentioned in online media,BMJ OPEN,English,Article,,2019,9,2,10.1136/bmjopen-2018-025783,"la maggio, cl ratcliff, m krakow, ll moorhead, a enkhbayar, jp alperin","lauren a. maggio, chelsea l. ratcliff, melinda krakow, laura l. moorhead, asura enkhbayar, juan pablo alperin",making headlines an analysis us government funded cancer research mentioned in online media,bmj open,
64,"Cawcutt, KA; Erdahl, LM; Englander, MJ; Radford, DM; Oxentenko, AS; Girgis, L; Migliore, LL; Poorman, JA; Silver, JK","Cawcutt, Kelly A.; Erdahl, Lillian M.; Englander, Meridith J.; Radford, Diane M.; Oxentenko, Amy S.; Girgis, Linda; Migliore, Lindsey L.; Poorman, Julie A.; Silver, Julie K.",Use of a Coordinated Social Media Strategy to Improve Dissemination of Research and Collect Solutions Related to Workforce Gender Equity,JOURNAL OF WOMENS HEALTH,English,Article,physicians; women; gender bias; translational research; social media; information dissemination,2019,28,6,10.1089/jwh.2018.7515,"ka cawcutt, lm erdahl, mj englander, dm radford, as oxentenko, l girgis, ll migliore, ja poorman, jk silver","kelly a. cawcutt, lillian m. erdahl, meridith j. englander, diane m. radford, amy s. oxentenko, linda girgis, lindsey l. migliore, julie a. poorman, julie k. silver",use a coordinated social media strategy to improve dissemination research collect solutions related to workforce gender equity,journal of womens health,"gender bias, information dissemination, physicians, social media, translational research, women"
65,"Pollock, A; van Wijck, F","Pollock, Alex; van Wijck, Frederike",Cochrane overviews: how can we optimize their impact on evidence-based rehabilitation?,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,English,Article,Rehabilitation; Evidence-based practice; Evidence-based medicine; Review; Systematic review as topic; Literature review as topic,2019,55,3,10.23736/s1973-9087.19.05780-0,"a pollock, f van wijck","alex pollock, frederike van wijck",cochrane overviews how can we optimize their impact on evidence based rehabilitation,european journal of physical and rehabilitation medicine,"evidence-based medicine, evidence-based practice, literature review as topic, rehabilitation, review, systematic review as topic"
66,"Papachristopoulos, L; Tsakonas, G; Boudourides, M; Sfakakis, M; Kleidis, N; Lenis, S; Papatheodorou, C","Papachristopoulos, Leonidas; Tsakonas, Giannis; Boudourides, Moses; Sfakakis, Michalis; Kleidis, Nikos; Lenis, Sergios; Papatheodorou, Christos",Discovering the structure and impact of the digital library evaluation domain,INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES,English,Article,Digital libraries; Evaluation; Topic modeling; Network analysis; Latent dirichlet allocation,2019,20,2,10.1007/s00799-017-0222-x,"l papachristopoulos, g tsakonas, m boudourides, m sfakakis, n kleidis, s lenis, c papatheodorou","leonidas papachristopoulos, giannis tsakonas, moses boudourides, michalis sfakakis, nikos kleidis, sergios lenis, christos papatheodorou",discovering structure impact digital library evaluation domain,international journal on digital libraries,"digital libraries, evaluation, latent dirichlet allocation, network analysis, topic modeling"
67,"Zhang, X; Wang, XH; Zhao, HK; de Pablos, PO; Sun, YQ; Xiong, H","Zhang, Xi; Wang, Xianhai; Zhao, Hongke; Ordonez de Pablos, Patricia; Sun, Yongqiang; Xiong, Hui",An effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications,SCIENTOMETRICS,English,Article,Altmetrics; Bibliometrics; Artificial intelligence; Highly cited publication; Increase of citation count; Citation analysis,2019,119,3,10.1007/s11192-019-03088-x,"x zhang, xh wang, hk zhao, po de pablos, yq sun, h xiong","xi zhang, xianhai wang, hongke zhao, patricia ordonez de pablos, yongqiang sun, hui xiong",an effectiveness analysis altmetrics indices for different levels artificial intelligence publications,scientometrics,"altmetrics, artificial intelligence, bibliometrics, citation analysis, highly cited publication, increase of citation count"
68,"Wang, MY; Wang, ZY; Chen, GS","Wang, Mingyang; Wang, Zhenyu; Chen, Guangsheng",Which can better predict the future success of articles? Bibliometric indices or alternative metrics,SCIENTOMETRICS,English,Article,Highly-cited papers; Bibliometric index; Alternative metrics; Machine learning,2019,119,3,10.1007/s11192-019-03052-9,"my wang, zy wang, gs chen","mingyang wang, zhenyu wang, guangsheng chen",which can better predict future success articles bibliometric indices or alternative metrics,scientometrics,"alternative metrics, bibliometric index, highly-cited papers, machine learning"
69,"Zong, QJ; Xie, YF; Tuo, RC; Huang, JS; Yang, Y","Zong, Qianjin; Xie, Yafen; Tuo, Rongchan; Huang, Jingshi; Yang, Yang",The impact of video abstract on citation counts: evidence from a retrospective cohort study of New Journal of Physics,SCIENTOMETRICS,English,Article,Video abstract; Citation counts; Citation analysis; Altmetrics; Retrospective cohort study,2019,119,3,10.1007/s11192-019-03108-w,"qj zong, yf xie, rc tuo, js huang, y yang","qianjin zong, yafen xie, rongchan tuo, jingshi huang, yang yang",impact video abstract on citation counts evidence from a retrospective cohort study new journal physics,scientometrics,"altmetrics, citation analysis, citation counts, retrospective cohort study, video abstract"
70,"Diaz-Faes, AA; Bowman, TD; Costas, R","Diaz-Faes, Adrian A.; Bowman, Timothy D.; Costas, Rodrigo",Towards a second generation of 'social media metrics': Characterizing Twitter communities of attention around science,PLOS ONE,English,Article,,2019,14,5,10.1371/journal.pone.0216408,"aa diaz-faes, td bowman, r costas","adrian a. diaz-faes, timothy d. bowman, rodrigo costas",towards a second generation social media metrics characterizing twitter communities attention around science,plos one,
71,"Kolahi, J; Khazaei, S; Iranmanesh, P; Soltani, P","Kolahi, Jafar; Khazaei, Saber; Iranmanesh, Pedram; Soltani, Parisa",Analysis of highly tweeted dental journals and articles: a science mapping approach,BRITISH DENTAL JOURNAL,English,Article,,2019,226,9,10.1038/s41415-019-0212-z,"j kolahi, s khazaei, p iranmanesh, p soltani","jafar kolahi, saber khazaei, pedram iranmanesh, parisa soltani",analysis highly tweeted dental journals articles a science mapping approach,british dental journal,
73,"Borba, VD; Alvarez, GR; Caregnato, SE","Borba, Vildeane da Rocha; Alvarez, Gonzalo Ruben; Caregnato, Sonia Elisa",Online attention at the Mendeley: an altmetric analysis of the scientific output of the Brazilian journals in Information Science Qualis A1 (2011-2017),ENCONTROS BIBLI-REVISTA ELETRONICA DE BIBLIOTECONOMIA E CIENCIA DA INFORMACAO,Portuguese,Article,Altmetrics; Scientific journals; Online attention; Mendeley,2019,24,55,10.5007/1518-2924.2019.e58658,"vd borba, gr alvarez, se caregnato","vildeane da rocha borba, gonzalo ruben alvarez, sonia elisa caregnato",online attention at mendeley an altmetric analysis scientific output brazilian journals in information science qualis a1 2011 2017,encontros bibli revista eletronica de biblioteconomia e ciencia da informacao,"altmetrics, mendeley, online attention, scientific journals"
74,"Kim, ES; Yoon, DY; Kim, HJ; Lee, K; Kim, Y; Bae, JS; Lee, JH","Kim, Eun Soo; Yoon, Dae Young; Kim, Hye Jeong; Lee, Kwanseop; Kim, Yerim; Bae, Jong Seok; Lee, Ju-Hun",The most mentioned neuroimaging articles in online media: a bibliometric analysis of the top 100 articles with the highest Altmetric Attention Scores,ACTA RADIOLOGICA,English,Article,Altmetrics; social media; neuroimaging; bibliometric analysis,2019,60,12,10.1177/0284185119843226,"es kim, dy yoon, hj kim, k lee, y kim, js bae, jh lee","eun soo kim, dae young yoon, hye jeong kim, kwanseop lee, yerim kim, jong seok bae, ju-hun lee",most mentioned neuroimaging articles in online media a bibliometric analysis top 100 articles with highest altmetric attention scores,acta radiologica,"altmetrics, bibliometric analysis, neuroimaging, social media"
75,"Kim, HJ; Yoon, DY; Kim, ES; Yun, EJ; Jeon, HJ; Lee, JY; Cho, BM","Kim, Hye Jeong; Yoon, Dae Young; Kim, Eun Soo; Yun, Eun Joo; Jeon, Hong Jun; Lee, Jong Young; Cho, Byung-Moon",The most mentioned neurointervention articles in online media: a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,JOURNAL OF NEUROINTERVENTIONAL SURGERY,English,Article,,2019,11,5,10.1136/neurintsurg-2018-014368,"hj kim, dy yoon, es kim, ej yun, hj jeon, jy lee, bm cho","hye jeong kim, dae young yoon, eun soo kim, eun joo yun, hong jun jeon, jong young lee, byung-moon cho",most mentioned neurointervention articles in online media a bibliometric analysis top 101 articles with highest altmetric attention scores,journal of neurointerventional surgery,
76,"Shema, H; Hahn, O; Mazarakis, A; Peters, I","Shema, Hadas; Hahn, Oliver; Mazarakis, Athanasios; Peters, Isabella",Retractions from altmetric and bibliometric perspectives,INFORMATION-WISSENSCHAFT UND PRAXIS,English,Article,Altmetrics; Bibliometrics; Scientific misconduct; Publication,2019,70,2-3,10.1515/iwp-2019-2006,"h shema, o hahn, a mazarakis, i peters","hadas shema, oliver hahn, athanasios mazarakis, isabella peters",retractions from altmetric bibliometric perspectives,information wissenschaft und praxis,"altmetrics, bibliometrics, publication, scientific misconduct"
77,"Haunschild, R; Leydesdorff, L; Bornmann, L; Hellsten, I; Marx, W","Haunschild, Robin; Leydesdorff, Loet; Bornmann, Lutz; Hellsten, Iina; Marx, Werner",Does the public discuss other topics on climate change than researchers? A comparison of explorative networks based on author keywords and hashtags,JOURNAL OF INFORMETRICS,English,Article,Bibliometrics; Twitter; Altmetrics; Networks; Hashtags; Author keywords; News,2019,13,2,10.1016/j.joi.2019.03.008,"r haunschild, l leydesdorff, l bornmann, i hellsten, w marx","robin haunschild, loet leydesdorff, lutz bornmann, iina hellsten, werner marx",does public discuss other topics on climate change than researchers a comparison explorative networks based on author keywords hashtags,journal of informetrics,"altmetrics, author keywords, bibliometrics, hashtags, networks, news, twitter"
78,"D'Angelo, CA; Di Russo, S","D'Angelo, Ciriaco Andrea; Di Russo, Samuele",Testing for universality of Mendeley readership distributions,JOURNAL OF INFORMETRICS,English,Article,Bibliometrics; Impact; Altmetrics; Mendeley readership; CSS,2019,13,2,10.1016/j.joi.2019.03.011,"ca d'angelo, s di russo","ciriaco andrea d'angelo, samuele di russo",testing for universality mendeley readership distributions,journal of informetrics,"altmetrics, bibliometrics, css, impact, mendeley readership"
79,"Hlavcheva, YM; Kanishcheva, OV; Borysova, NV","Hlavcheva, Yu. M.; Kanishcheva, O. V.; Borysova, N. V.",A Survey of Informetric Methods and Technologies,CYBERNETICS AND SYSTEMS ANALYSIS,English,Article,scientometrics; informetrics; scientometric system; bibliometric system; metric; citation index,2019,55,3,10.1007/s10559-019-00158-z,"ym hlavcheva, ov kanishcheva, nv borysova","yu. m. hlavcheva, o. v. kanishcheva, n. v. borysova",a survey informetric methods technologies,cybernetics and systems analysis,"bibliometric system, citation index, informetrics, metric, scientometric system, scientometrics"
