,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
120,dimensions,"peter kokol, helena blazun vosner",historical descriptive and exploratory analysis of application of bibliometrics in nursing research,"Historical, Descriptive and Exploratory Analysis of Application of Bibliometrics in Nursing Research",nursing outlook,"11 medical and health sciences, 1110 nursing",2019,10.1016/j.outlook.2019.04.009
121,dimensions,"yazan hassona, tala qutachi, latefa dardas, mohammad s. alrashdan, faleh sawair",the online attention to oral cancer research an altmetric analysis,The online attention to oral cancer research: An Altmetric analysis,oral diseases,"11 medical and health sciences, 1117 public health and health services",2019,10.1111/odi.13111
122,dimensions,"chang seok bang, jae jun lee, gwang ho baik",the most influential articles in helicobacter pylori research a bibliometric analysis,The most influential articles in Helicobacter pylori research: A bibliometric analysis,helicobacter,"06 biological sciences, 11 medical and health sciences",2019,10.1111/hel.12589
123,dimensions,"ted brown, sharon a. gutman",a comparison of bibliometric indicators in occupational therapy journals published in english,A comparison of bibliometric indicators in occupational therapy journals published in English,canadian journal of occupational therapy,"11 medical and health sciences, 1103 clinical sciences, 1199 other medical and health sciences",2019,10.1177/0008417419831453
124,dimensions,"marcio diniz-freitas, maite pena-cristobal, daniel perez-lopez, lucia lago-mendez, javier fernandez-feijoo, jacobo limeres-posse",bibliometric analysis of medication related osteonecrosis of the jaw high citation rates but low evidence,Bibliometric Analysis of Medication-Related Osteonecrosis of the Jaw: High Citation Rates but Low Evidence,journal of oral and maxillofacial surgery,"11 medical and health sciences, 1105 dentistry",2019,10.1016/j.joms.2019.04.015
125,dimensions,"judith r. harrison, joseph f. hayes, james woollard, derek k. tracy",bjpsych and social media likes followers and leading,"#BJPsych and social media – likes, followers and leading?",the british journal of psychiatry,"11 medical and health sciences, 17 psychology and cognitive sciences",2019,10.1192/bjp.2019.6
126,dimensions,"p. ahmad, p. m. h. dummer, a. chaudhry, u. rashid, s. saif, j. a. asif",a bibliometric study of the top 100 mostcited randomized controlled trials systematic reviews and metaanalyses published in endodontic journals,"A bibliometric study of the top 100 most‐cited randomized controlled trials, systematic reviews and meta‐analyses published in endodontic journals",international endodontic journal,"11 medical and health sciences, 1105 dentistry",2019,10.1111/iej.13131
127,dimensions,"kelly a. cawcutt, lillian m. erdahl, meridith j. englander, diane m. radford, amy s. oxentenko, linda girgis, lindsey l. migliore, julie a. poorman, julie k. silver",use of a coordinated social media strategy to improve dissemination of research and collect solutions related to workforce gender equity,Use of a Coordinated Social Media Strategy to Improve Dissemination of Research and Collect Solutions Related to Workforce Gender Equity,journal of womens health,11 medical and health sciences,2019,10.1089/jwh.2018.7515
128,dimensions,"thiago f. a. franca, jose m. monserrat",writing papers to be memorable even when they are not really read,"Writing Papers to Be Memorable, Even When They Are Not Really Read",bioessays,"06 biological sciences, 11 medical and health sciences, 17 psychology and cognitive sciences",2019,10.1002/bies.201900035
129,dimensions,"kamil kokulu, huseyin mutlu, ekrem taha sert",scientific publication productivity of emergency physicians a bibliometric analysis of the last decade,Scientific Publication Productivity of Emergency Physicians: A Bibliometric Analysis of the Last Decade,journal of emergency medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.jemermed.2019.03.021
130,dimensions,"nicolas robinson-garcia, wenceslao arroyo-machado, daniel torres-salinas",mapping social media attention in microbiology identifying main topics and actors,Mapping social media attention in Microbiology: identifying main topics and actors.,fems microbiology letters,"06 biological sciences, 07 agricultural and veterinary sciences, 11 medical and health sciences",2019,10.1093/femsle/fnz075
131,dimensions,roderic d.m. page,ozymandias a biodiversity knowledge graph,Ozymandias: a biodiversity knowledge graph,peerj,"08 information and computing sciences, 0806 information systems",2019,10.7717/peerj.6739
132,dimensions,"simonetta gerevini, ruggero capra, diego bertoli, alessandra sottini, luisa imberti",immune profiling of a patient with alemtuzumab associated progressive multifocal leukoencephalopathy,Immune profiling of a patient with alemtuzumab-associated progressive multifocal leukoencephalopathy,multiple sclerosis journal,"11 medical and health sciences, 1107 immunology",2019,10.1177/1352458519832259
133,dimensions,"xieling chen, yonghui lun, jun yan, tianyong hao, heng weng",discovering thematic change and evolution of utilizing social media for healthcare research,Discovering thematic change and evolution of utilizing social media for healthcare research,bmc medical informatics and decision making,"08 information and computing sciences, 0806 information systems, 09 engineering, 0909 geomatic engineering, 11 medical and health sciences, 1103 clinical sciences",2019,10.1186/s12911-019-0757-4
134,dimensions,"winnie m y chen, marwan bukhari, francesca cockshull, james galloway",the relationship between citations downloads and alternative metrics in rheumatology publications a bibliometric study,"The relationship between citations, downloads and alternative metrics in rheumatology publications: a bibliometric study.",rheumatology,"11 medical and health sciences, 1103 clinical sciences, 1107 immunology, 1117 public health and health services",2019,10.1093/rheumatology/kez163
135,dimensions,"neil d. joshi, bryan lieber, karren wong, eliana al-alam, nitin agarwal, vicki diaz",social media in neurosurgery utilizing researchgate,Social Media in Neurosurgery: Utilizing ResearchGate,world neurosurgery,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.wneu.2019.04.007
136,dimensions,"francois busquet, mathieu vinken",the use of social media in scientific research and creative thinking,The use of social media in scientific research and creative thinking,toxicology in vitro,"11 medical and health sciences, 1115 pharmacology and pharmaceutical sciences",2019,10.1016/j.tiv.2019.04.006
137,dimensions,"alex pollock, frederike van wijck",cochrane overviews how can we optimize their impact on evidence based rehabilitation,Cochrane overviews: how can we optimize their impact on evidence-based rehabilitation?,european journal of physical and rehabilitation medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.23736/s1973-9087.19.05780-0
138,dimensions,"methma udawatta, edwin ng, h. westley phillips, jia-shu chen, bayard wilson, giyarpuram n. prashant, daniel t. nagasawa, isaac yang",age related differences in social media use in the neurosurgical community a multi institutional study,Age-Related Differences in Social Media Use in the Neurosurgical Community: A Multi-Institutional Study,clinical neurology and neurosurgery,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.clineuro.2019.03.027
139,dimensions,"jeffrey braithwaite, jessica herkes, kate churruca, janet c long, chiara pomare, claire boyling, mia bierbaum, robyn clay-williams, frances rapport, patti shih, anne hogden, louise a ellis, kristiana ludlow, elizabeth austin, rebecca seah, elise mcpherson, peter d hibbert, johanna westbrook",comprehensive researcher achievement model cram a framework for measuring researcher achievement impact and influence derived from a systematic literature review of metrics and models,"Comprehensive Researcher Achievement Model (CRAM): a framework for measuring researcher achievement, impact and influence derived from a systematic literature review of metrics and models",bmj open,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/bmjopen-2018-025320
140,dimensions,"zachary l. smith, austin l. chiang, deborah bowman, michael b. wallace",the longitudinal relationship between social media activity and article citations in the journal gastrointestinal endoscopy,The longitudinal relationship between social media activity and article citations in the journal Gastrointestinal Endoscopy,gastrointestinal endoscopy,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.gie.2019.03.028
